symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,4.2,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,0.8,23595,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,23595,1,299.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,34684,3,299.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,35372,5,299.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,95729,6,299.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,130004,7,299.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.8,131683,11,299.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,4.4,184424,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.4,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.4,184424,1,293.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.4,206062,2,293.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.4,605405,8,294.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,2.8,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.8,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,3.6,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,3.6,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,3.8,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,3.8,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,1.2,124412,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.2,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.2,124412,1,355.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.2,377766,3,355.0
