config,final_hardness,hardness_improvement,trajectory_length,plateau_ratio,improvement_rate,volatility
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 60.0}",3271,3108,83,0.0,"{'slope': 3.986382513235518, 'r_squared': 0.9064091801679408}",59.90187296149481
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 65.0}",1182,1084,57,0.0,"{'slope': 1.1989740218067413, 'r_squared': 0.9458422083495835}",36.20794534522014
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 70.0}",2856,2819,76,0.0,"{'slope': 4.257519948597418, 'r_squared': 0.8344376397054802}",95.94124498300451
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 75.0}",437,417,45,0.0,"{'slope': 0.4663057439529702, 'r_squared': 0.9626789522632428}",13.143419778393842
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 80.0}",1981,1915,67,0.0,"{'slope': 1.9948720154402724, 'r_squared': 0.8318971062115411}",40.682991913546
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 85.0}",539,434,16,0.0,"{'slope': 2.56045795179567, 'r_squared': 0.8300395215852802}",29.726456603877665
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 90.0}",4772,4740,73,0.0,"{'slope': 5.714602313245326, 'r_squared': 0.9345328560350545}",151.43627189165892
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 95.0}",3507,3424,117,0.0,"{'slope': 2.590605958106437, 'r_squared': 0.9182655841346326}",74.35138877707442
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 100.0}",2568,2465,101,0.0,"{'slope': 2.4384295400274345, 'r_squared': 0.9879397301016866}",30.9968950057905
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 5.0}",917,682,10,0.0,"{'slope': 0.7603441423753068, 'r_squared': 0.75220026999209}",92.01301571912745
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 10.0}",1966,1826,34,0.0,"{'slope': 2.2376135752107444, 'r_squared': 0.8380614773328762}",104.69281665227018
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 15.0}",67984,67869,149,0.0,"{'slope': 65.28995476462737, 'r_squared': 0.9641410903442504}",1606.4093294254376
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 20.0}",61979,61591,72,0.0,"{'slope': 73.51702017544233, 'r_squared': 0.8911719786171565}",2137.47440712233
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 25.0}",5559,5167,27,0.0,"{'slope': 3.7802869618032124, 'r_squared': 0.44162326938325536}",433.2067864455556
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 30.0}",11024,10499,50,0.0,"{'slope': 10.904388738133093, 'r_squared': 0.9865635605258672}",355.2556294638026
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 35.0}",13922,12994,49,0.0,"{'slope': 13.188485254535898, 'r_squared': 0.9102478840912687}",445.3425160449227
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 40.0}",12088,11744,59,0.0,"{'slope': 11.144407259722533, 'r_squared': 0.864432824116629}",330.3667367293772
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 45.0}",9164,8831,47,0.0,"{'slope': 9.061093235383831, 'r_squared': 0.7936950909672096}",392.25593292991067
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 50.0}",29686,28965,66,0.0,"{'slope': 20.881765174280815, 'r_squared': 0.5828498715956875}",907.2933151761417
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 55.0}",31179,30936,74,0.0,"{'slope': 34.629057880222156, 'r_squared': 0.961803394270149}",765.9900075634118
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 60.0}",20939,20576,99,0.0,"{'slope': 20.482835041836402, 'r_squared': 0.8999855888644828}",500.37090158237027
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 65.0}",7178,7058,65,0.0,"{'slope': 8.453746844025828, 'r_squared': 0.9640445388596077}",259.3922264610825
