violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,generation,iterations,log_iterations,distribution,generation_type,mutation_type,city_size,range
0,0.0,0.0,0.0,20,479106.0,13.079677146274323,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,0,242778.0,12.399902724506997,lognormal,euclidean,random_sampling,30,1.8
0,0.0,0.0,0.0,0,13137073.0,16.390948791260442,lognormal,euclidean,random_sampling,20,0.2
0,0.0,0.0,0.0,0,53906.0,10.894997067955957,lognormal,euclidean,random_sampling,20,3.8
0,0.0,0.0,0.0,0,7509.0,8.923857580099885,lognormal,euclidean,random_sampling,20,5.0
0,0.0,0.0,0.0,0,37991.0,10.54510456855174,lognormal,euclidean,random_sampling,20,1.8
0,0.0,0.0,0.0,0,1717.0,7.448333860897476,lognormal,euclidean,random_sampling,20,3.0
0,0.0,0.0,0.0,0,104.0,4.6443908991413725,lognormal,euclidean,random_sampling,20,0.4
0,0.0,0.0,0.0,0,1824.0,7.508787170634276,lognormal,euclidean,random_sampling,20,1.4
0,0.0,0.0,0.0,0,763.0,6.637258031284457,lognormal,euclidean,random_sampling,30,0.6
0,0.0,0.0,0.0,0,932.0,6.837332814685591,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,1,17542.0,9.772353284511327,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,2,785.0,6.665683717782408,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,3,1950.0,7.575584651557793,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,4,6517.0,8.78216942633238,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,5,3504.0,8.161660452056282,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,6,10351.0,9.24483841238375,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,7,41240.0,10.627163938130897,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,8,6348.0,8.7558950816463,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,9,6451.0,8.771990436532242,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,10,7986.0,8.985445287623167,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,11,979.0,6.88653164253051,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,12,3741.0,8.227108234348146,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,13,476.0,6.16541785423142,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,14,1163.0,7.0587581525186645,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,15,17619.0,9.77673314419063,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,16,11111.0,9.315690887584008,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,17,6980.0,8.850804195756417,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,18,2588.0,7.858640655620791,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,19,7341.0,8.901230352110781,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,20,932.0,6.837332814685591,lognormal,euclidean,random_sampling,20,1.6
0,0.0,0.0,0.0,0,98.0,4.584967478670572,lognormal,euclidean,random_sampling,20,0.6
3854,7656.0,1.9865075246497146,0.15821018062397374,0,113.0,4.727387818712341,uniform,symmetric,random_sampling,30,5.0
4330,47882.0,11.058198614318707,0.1777504105090312,0,7191.0,8.880585523102495,uniform,symmetric,random_sampling,30,40.0
1166,20052.0,17.197255574614065,0.17046783625730993,0,931.0,6.836259277277067,uniform,symmetric,random_sampling,20,65.0
4058,106672.0,26.28684080827994,0.16658456486042694,0,3991.0,8.291797105048733,uniform,symmetric,random_sampling,30,100.0
4170,18626.0,4.466666666666667,0.17118226600985223,0,1388.0,7.23561914106675,uniform,symmetric,random_sampling,30,15.0
1196,19578.0,16.369565217391305,0.17485380116959065,0,399.0,5.988961416889864,uniform,symmetric,random_sampling,20,70.0
1026,5752.0,5.606237816764133,0.15,0,781.0,6.660575149839686,uniform,symmetric,random_sampling,20,20.0
4294,109080.0,25.402887750349326,0.17627257799671592,0,16430.0,9.706864211031315,uniform,symmetric,random_sampling,30,95.0
4130,95580.0,23.142857142857142,0.16954022988505746,0,13445.0,9.506362568702965,uniform,symmetric,random_sampling,30,90.0
3868,59272.0,15.323681489141675,0.15878489326765188,0,8077.0,8.996775795442296,uniform,symmetric,random_sampling,30,60.0
3922,32000.0,8.15910249872514,0.1610016420361248,0,11386.0,9.340139809511028,uniform,symmetric,random_sampling,30,30.0
3970,12692.0,3.196977329974811,0.16297208538587848,0,4443.0,8.399085102935908,uniform,symmetric,random_sampling,30,10.0
1090,15808.0,14.502752293577982,0.15935672514619884,0,473.0,6.159095388491933,uniform,symmetric,random_sampling,20,60.0
3772,81668.0,21.651113467656415,0.1548440065681445,0,40576.0,10.610932037796898,uniform,symmetric,random_sampling,30,85.0
3794,78702.0,20.743806009488665,0.1557471264367816,0,29987.0,10.308519233394938,uniform,symmetric,random_sampling,30,80.0
886,19272.0,21.751693002257337,0.12953216374269005,0,459.0,6.129050210060545,uniform,symmetric,random_sampling,20,95.0
1124,8042.0,7.154804270462633,0.16432748538011696,0,575.0,6.354370040797351,uniform,symmetric,random_sampling,20,25.0
1310,17598.0,13.433587786259542,0.1915204678362573,0,380.0,5.940171252720432,uniform,symmetric,random_sampling,20,50.0
984,7698.0,7.823170731707317,0.14385964912280702,0,272.0,5.605802066295998,uniform,symmetric,random_sampling,20,30.0
4124,75242.0,18.244907856450048,0.16929392446633826,0,31619.0,10.361513484709917,uniform,symmetric,random_sampling,30,70.0
1286,25646.0,19.942457231726284,0.18801169590643274,0,849.0,6.744059186311348,uniform,symmetric,random_sampling,20,80.0
1066,4542.0,4.26078799249531,0.15584795321637426,0,598.0,6.393590753950631,uniform,symmetric,random_sampling,20,15.0
4150,37942.0,9.142650602409638,0.17036124794745483,0,6923.0,8.842604480678025,uniform,symmetric,random_sampling,30,35.0
4296,75972.0,17.68435754189944,0.17635467980295566,0,6061.0,8.709630081951286,uniform,symmetric,random_sampling,30,65.0
4264,83754.0,19.642120075046904,0.17504105090311986,0,2756.0,7.9215356321335495,uniform,symmetric,random_sampling,30,75.0
1190,14410.0,12.109243697478991,0.1739766081871345,0,331.0,5.802118375377063,uniform,symmetric,random_sampling,20,45.0
1140,10238.0,8.980701754385965,0.16666666666666666,0,884.0,6.784457062637643,uniform,symmetric,random_sampling,20,35.0
1270,2588.0,2.0377952755905513,0.18567251461988304,0,106.0,4.663439094112067,uniform,symmetric,random_sampling,20,5.0
1064,24044.0,22.597744360902254,0.15555555555555556,0,914.0,6.81783057145415,uniform,symmetric,random_sampling,20,85.0
3954,57480.0,14.537177541729895,0.1623152709359606,0,2896.0,7.971085753505607,uniform,symmetric,random_sampling,30,55.0
1104,26408.0,23.920289855072465,0.16140350877192983,0,75.0,4.31748811353631,uniform,symmetric,random_sampling,20,90.0
1146,22248.0,19.413612565445025,0.1675438596491228,0,1754.0,7.469654172932128,uniform,symmetric,random_sampling,20,75.0
3930,46340.0,11.791348600508906,0.16133004926108374,0,21523.0,9.97687740976418,uniform,symmetric,random_sampling,30,45.0
1052,3140.0,2.9847908745247147,0.15380116959064327,0,133.0,4.890349128221754,uniform,symmetric,random_sampling,20,10.0
