Generation,Iterations,Configuration
280,733,uniform_asymmetric_wouter_30
281,733,uniform_asymmetric_wouter_30
282,733,uniform_asymmetric_wouter_30
283,733,uniform_asymmetric_wouter_30
284,733,uniform_asymmetric_wouter_30
285,761,uniform_asymmetric_wouter_30
286,761,uniform_asymmetric_wouter_30
287,674,uniform_asymmetric_wouter_30
288,674,uniform_asymmetric_wouter_30
289,747,uniform_asymmetric_wouter_30
290,747,uniform_asymmetric_wouter_30
291,1007,uniform_asymmetric_wouter_30
292,1007,uniform_asymmetric_wouter_30
293,1007,uniform_asymmetric_wouter_30
294,1007,uniform_asymmetric_wouter_30
295,1024,uniform_asymmetric_wouter_30
296,1024,uniform_asymmetric_wouter_30
297,1024,uniform_asymmetric_wouter_30
298,315,uniform_asymmetric_wouter_30
299,315,uniform_asymmetric_wouter_30
300,315,uniform_asymmetric_wouter_30
301,315,uniform_asymmetric_wouter_30
302,315,uniform_asymmetric_wouter_30
303,315,uniform_asymmetric_wouter_30
304,315,uniform_asymmetric_wouter_30
305,315,uniform_asymmetric_wouter_30
306,315,uniform_asymmetric_wouter_30
307,468,uniform_asymmetric_wouter_30
308,468,uniform_asymmetric_wouter_30
309,468,uniform_asymmetric_wouter_30
310,467,uniform_asymmetric_wouter_30
311,467,uniform_asymmetric_wouter_30
312,467,uniform_asymmetric_wouter_30
313,467,uniform_asymmetric_wouter_30
314,467,uniform_asymmetric_wouter_30
315,467,uniform_asymmetric_wouter_30
316,467,uniform_asymmetric_wouter_30
317,466,uniform_asymmetric_wouter_30
318,466,uniform_asymmetric_wouter_30
319,464,uniform_asymmetric_wouter_30
320,464,uniform_asymmetric_wouter_30
321,464,uniform_asymmetric_wouter_30
322,455,uniform_asymmetric_wouter_30
323,419,uniform_asymmetric_wouter_30
324,401,uniform_asymmetric_wouter_30
325,404,uniform_asymmetric_wouter_30
326,404,uniform_asymmetric_wouter_30
327,404,uniform_asymmetric_wouter_30
328,404,uniform_asymmetric_wouter_30
329,404,uniform_asymmetric_wouter_30
330,404,uniform_asymmetric_wouter_30
331,404,uniform_asymmetric_wouter_30
332,404,uniform_asymmetric_wouter_30
333,404,uniform_asymmetric_wouter_30
334,404,uniform_asymmetric_wouter_30
335,404,uniform_asymmetric_wouter_30
336,404,uniform_asymmetric_wouter_30
337,404,uniform_asymmetric_wouter_30
338,406,uniform_asymmetric_wouter_30
339,406,uniform_asymmetric_wouter_30
340,406,uniform_asymmetric_wouter_30
341,406,uniform_asymmetric_wouter_30
342,406,uniform_asymmetric_wouter_30
343,599,uniform_asymmetric_wouter_30
344,623,uniform_asymmetric_wouter_30
345,623,uniform_asymmetric_wouter_30
346,623,uniform_asymmetric_wouter_30
347,623,uniform_asymmetric_wouter_30
348,623,uniform_asymmetric_wouter_30
349,623,uniform_asymmetric_wouter_30
350,623,uniform_asymmetric_wouter_30
351,629,uniform_asymmetric_wouter_30
352,629,uniform_asymmetric_wouter_30
353,629,uniform_asymmetric_wouter_30
354,629,uniform_asymmetric_wouter_30
355,629,uniform_asymmetric_wouter_30
356,629,uniform_asymmetric_wouter_30
357,629,uniform_asymmetric_wouter_30
358,628,uniform_asymmetric_wouter_30
359,628,uniform_asymmetric_wouter_30
360,628,uniform_asymmetric_wouter_30
361,628,uniform_asymmetric_wouter_30
362,628,uniform_asymmetric_wouter_30
363,771,uniform_asymmetric_wouter_30
364,771,uniform_asymmetric_wouter_30
365,771,uniform_asymmetric_wouter_30
366,771,uniform_asymmetric_wouter_30
367,771,uniform_asymmetric_wouter_30
368,771,uniform_asymmetric_wouter_30
369,771,uniform_asymmetric_wouter_30
370,771,uniform_asymmetric_wouter_30
371,765,uniform_asymmetric_wouter_30
