Generation,Iterations,Configuration
236,450,uniform_euclidean_wouter_20
237,450,uniform_euclidean_wouter_20
238,454,uniform_euclidean_wouter_20
239,266,uniform_euclidean_wouter_20
240,200,uniform_euclidean_wouter_20
241,227,uniform_euclidean_wouter_20
242,667,uniform_euclidean_wouter_20
243,324,uniform_euclidean_wouter_20
244,325,uniform_euclidean_wouter_20
245,325,uniform_euclidean_wouter_20
246,254,uniform_euclidean_wouter_20
247,291,uniform_euclidean_wouter_20
248,109,uniform_euclidean_wouter_20
249,566,uniform_euclidean_wouter_20
250,566,uniform_euclidean_wouter_20
251,566,uniform_euclidean_wouter_20
252,569,uniform_euclidean_wouter_20
253,452,uniform_euclidean_wouter_20
254,452,uniform_euclidean_wouter_20
255,536,uniform_euclidean_wouter_20
256,489,uniform_euclidean_wouter_20
257,487,uniform_euclidean_wouter_20
258,397,uniform_euclidean_wouter_20
259,397,uniform_euclidean_wouter_20
260,358,uniform_euclidean_wouter_20
261,361,uniform_euclidean_wouter_20
262,376,uniform_euclidean_wouter_20
263,751,uniform_euclidean_wouter_20
264,751,uniform_euclidean_wouter_20
265,913,uniform_euclidean_wouter_20
266,962,uniform_euclidean_wouter_20
267,962,uniform_euclidean_wouter_20
268,970,uniform_euclidean_wouter_20
269,957,uniform_euclidean_wouter_20
270,957,uniform_euclidean_wouter_20
271,957,uniform_euclidean_wouter_20
272,352,uniform_euclidean_wouter_20
273,346,uniform_euclidean_wouter_20
274,346,uniform_euclidean_wouter_20
275,368,uniform_euclidean_wouter_20
276,368,uniform_euclidean_wouter_20
277,368,uniform_euclidean_wouter_20
278,368,uniform_euclidean_wouter_20
279,368,uniform_euclidean_wouter_20
280,443,uniform_euclidean_wouter_20
281,443,uniform_euclidean_wouter_20
282,340,uniform_euclidean_wouter_20
283,340,uniform_euclidean_wouter_20
284,718,uniform_euclidean_wouter_20
285,539,uniform_euclidean_wouter_20
286,539,uniform_euclidean_wouter_20
287,329,uniform_euclidean_wouter_20
288,239,uniform_euclidean_wouter_20
289,182,uniform_euclidean_wouter_20
290,182,uniform_euclidean_wouter_20
291,182,uniform_euclidean_wouter_20
292,223,uniform_euclidean_wouter_20
293,223,uniform_euclidean_wouter_20
294,161,uniform_euclidean_wouter_20
295,306,uniform_euclidean_wouter_20
296,266,uniform_euclidean_wouter_20
297,482,uniform_euclidean_wouter_20
298,360,uniform_euclidean_wouter_20
299,378,uniform_euclidean_wouter_20
300,368,uniform_euclidean_wouter_20
301,380,uniform_euclidean_wouter_20
302,250,uniform_euclidean_wouter_20
303,230,uniform_euclidean_wouter_20
304,230,uniform_euclidean_wouter_20
305,230,uniform_euclidean_wouter_20
306,191,uniform_euclidean_wouter_20
307,191,uniform_euclidean_wouter_20
308,188,uniform_euclidean_wouter_20
309,190,uniform_euclidean_wouter_20
310,168,uniform_euclidean_wouter_20
311,181,uniform_euclidean_wouter_20
312,247,uniform_euclidean_wouter_20
313,237,uniform_euclidean_wouter_20
314,231,uniform_euclidean_wouter_20
315,231,uniform_euclidean_wouter_20
316,209,uniform_euclidean_wouter_20
317,207,uniform_euclidean_wouter_20
318,207,uniform_euclidean_wouter_20
319,207,uniform_euclidean_wouter_20
320,320,uniform_euclidean_wouter_20
321,318,uniform_euclidean_wouter_20
322,466,uniform_euclidean_wouter_20
323,484,uniform_euclidean_wouter_20
324,473,uniform_euclidean_wouter_20
325,473,uniform_euclidean_wouter_20
326,613,uniform_euclidean_wouter_20
327,611,uniform_euclidean_wouter_20
328,401,uniform_euclidean_wouter_20
329,616,uniform_euclidean_wouter_20
330,616,uniform_euclidean_wouter_20
331,458,uniform_euclidean_wouter_20
332,458,uniform_euclidean_wouter_20
333,458,uniform_euclidean_wouter_20
334,190,uniform_euclidean_wouter_20
335,190,uniform_euclidean_wouter_20
336,190,uniform_euclidean_wouter_20
337,190,uniform_euclidean_wouter_20
338,190,uniform_euclidean_wouter_20
339,208,uniform_euclidean_wouter_20
340,195,uniform_euclidean_wouter_20
341,117,uniform_euclidean_wouter_20
342,348,uniform_euclidean_wouter_20
343,348,uniform_euclidean_wouter_20
344,911,uniform_euclidean_wouter_20
345,919,uniform_euclidean_wouter_20
346,823,uniform_euclidean_wouter_20
347,823,uniform_euclidean_wouter_20
348,823,uniform_euclidean_wouter_20
349,833,uniform_euclidean_wouter_20
350,870,uniform_euclidean_wouter_20
351,870,uniform_euclidean_wouter_20
352,844,uniform_euclidean_wouter_20
353,828,uniform_euclidean_wouter_20
354,789,uniform_euclidean_wouter_20
355,795,uniform_euclidean_wouter_20
356,1259,uniform_euclidean_wouter_20
357,1177,uniform_euclidean_wouter_20
358,903,uniform_euclidean_wouter_20
359,903,uniform_euclidean_wouter_20
360,940,uniform_euclidean_wouter_20
361,940,uniform_euclidean_wouter_20
362,978,uniform_euclidean_wouter_20
363,978,uniform_euclidean_wouter_20
364,1516,uniform_euclidean_wouter_20
365,1457,uniform_euclidean_wouter_20
366,1457,uniform_euclidean_wouter_20
367,992,uniform_euclidean_wouter_20
368,1435,uniform_euclidean_wouter_20
369,1318,uniform_euclidean_wouter_20
370,1318,uniform_euclidean_wouter_20
371,1557,uniform_euclidean_wouter_20
372,1669,uniform_euclidean_wouter_20
373,743,uniform_euclidean_wouter_20
374,1169,uniform_euclidean_wouter_20
375,1169,uniform_euclidean_wouter_20
376,1169,uniform_euclidean_wouter_20
377,810,uniform_euclidean_wouter_20
378,867,uniform_euclidean_wouter_20
379,867,uniform_euclidean_wouter_20
380,673,uniform_euclidean_wouter_20
381,673,uniform_euclidean_wouter_20
382,673,uniform_euclidean_wouter_20
383,520,uniform_euclidean_wouter_20
384,520,uniform_euclidean_wouter_20
385,520,uniform_euclidean_wouter_20
386,466,uniform_euclidean_wouter_20
387,373,uniform_euclidean_wouter_20
388,373,uniform_euclidean_wouter_20
389,215,uniform_euclidean_wouter_20
390,215,uniform_euclidean_wouter_20
391,215,uniform_euclidean_wouter_20
392,228,uniform_euclidean_wouter_20
393,228,uniform_euclidean_wouter_20
394,473,uniform_euclidean_wouter_20
395,473,uniform_euclidean_wouter_20
396,473,uniform_euclidean_wouter_20
397,473,uniform_euclidean_wouter_20
398,473,uniform_euclidean_wouter_20
399,473,uniform_euclidean_wouter_20
400,204,uniform_euclidean_wouter_20
401,209,uniform_euclidean_wouter_20
402,209,uniform_euclidean_wouter_20
403,209,uniform_euclidean_wouter_20
404,317,uniform_euclidean_wouter_20
405,301,uniform_euclidean_wouter_20
406,388,uniform_euclidean_wouter_20
407,388,uniform_euclidean_wouter_20
408,388,uniform_euclidean_wouter_20
409,411,uniform_euclidean_wouter_20
410,411,uniform_euclidean_wouter_20
411,746,uniform_euclidean_wouter_20
412,746,uniform_euclidean_wouter_20
413,483,uniform_euclidean_wouter_20
414,483,uniform_euclidean_wouter_20
415,483,uniform_euclidean_wouter_20
416,483,uniform_euclidean_wouter_20
417,752,uniform_euclidean_wouter_20
418,630,uniform_euclidean_wouter_20
419,630,uniform_euclidean_wouter_20
420,780,uniform_euclidean_wouter_20
421,780,uniform_euclidean_wouter_20
422,752,uniform_euclidean_wouter_20
423,602,uniform_euclidean_wouter_20
424,602,uniform_euclidean_wouter_20
425,543,uniform_euclidean_wouter_20
426,543,uniform_euclidean_wouter_20
427,543,uniform_euclidean_wouter_20
428,543,uniform_euclidean_wouter_20
429,1032,uniform_euclidean_wouter_20
430,988,uniform_euclidean_wouter_20
431,956,uniform_euclidean_wouter_20
432,956,uniform_euclidean_wouter_20
433,956,uniform_euclidean_wouter_20
434,967,uniform_euclidean_wouter_20
435,967,uniform_euclidean_wouter_20
436,966,uniform_euclidean_wouter_20
437,966,uniform_euclidean_wouter_20
438,966,uniform_euclidean_wouter_20
439,966,uniform_euclidean_wouter_20
440,966,uniform_euclidean_wouter_20
441,452,uniform_euclidean_wouter_20
442,452,uniform_euclidean_wouter_20
443,326,uniform_euclidean_wouter_20
444,326,uniform_euclidean_wouter_20
445,573,uniform_euclidean_wouter_20
446,472,uniform_euclidean_wouter_20
447,472,uniform_euclidean_wouter_20
448,472,uniform_euclidean_wouter_20
449,452,uniform_euclidean_wouter_20
450,728,uniform_euclidean_wouter_20
451,728,uniform_euclidean_wouter_20
452,728,uniform_euclidean_wouter_20
453,788,uniform_euclidean_wouter_20
454,684,uniform_euclidean_wouter_20
455,688,uniform_euclidean_wouter_20
456,711,uniform_euclidean_wouter_20
457,142,uniform_euclidean_wouter_20
458,142,uniform_euclidean_wouter_20
459,340,uniform_euclidean_wouter_20
460,340,uniform_euclidean_wouter_20
461,244,uniform_euclidean_wouter_20
462,244,uniform_euclidean_wouter_20
463,244,uniform_euclidean_wouter_20
464,251,uniform_euclidean_wouter_20
465,575,uniform_euclidean_wouter_20
466,575,uniform_euclidean_wouter_20
467,454,uniform_euclidean_wouter_20
468,196,uniform_euclidean_wouter_20
469,201,uniform_euclidean_wouter_20
470,201,uniform_euclidean_wouter_20
471,382,uniform_euclidean_wouter_20
472,382,uniform_euclidean_wouter_20
473,362,uniform_euclidean_wouter_20
474,389,uniform_euclidean_wouter_20
475,400,uniform_euclidean_wouter_20
476,671,uniform_euclidean_wouter_20
477,671,uniform_euclidean_wouter_20
478,671,uniform_euclidean_wouter_20
479,671,uniform_euclidean_wouter_20
480,671,uniform_euclidean_wouter_20
481,651,uniform_euclidean_wouter_20
482,651,uniform_euclidean_wouter_20
483,549,uniform_euclidean_wouter_20
484,549,uniform_euclidean_wouter_20
485,552,uniform_euclidean_wouter_20
486,552,uniform_euclidean_wouter_20
487,554,uniform_euclidean_wouter_20
488,455,uniform_euclidean_wouter_20
489,454,uniform_euclidean_wouter_20
490,456,uniform_euclidean_wouter_20
491,456,uniform_euclidean_wouter_20
492,457,uniform_euclidean_wouter_20
493,461,uniform_euclidean_wouter_20
494,430,uniform_euclidean_wouter_20
495,430,uniform_euclidean_wouter_20
496,430,uniform_euclidean_wouter_20
