generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
2,206062,206062,293.0,../data/Continuation/lognormal_euclidean/city20_range4.4_wouter.json,inplace,euclidean,lognormal,20,4.4,0.16842105263157894,12.23593237336286,1.0,32
8,605405,605405,294.0,../data/Continuation/lognormal_euclidean/city20_range4.4_wouter.json,inplace,euclidean,lognormal,20,4.4,0.16842105263157894,13.313652934537965,0.9999999999999998,32
1,124412,124412,355.0,../data/Continuation/lognormal_euclidean/city30_range1.2_swap.json,swap,euclidean,lognormal,30,1.2,0.04597701149425287,11.731353917657474,1.0,20
3,377766,377766,355.0,../data/Continuation/lognormal_euclidean/city30_range1.2_swap.json,swap,euclidean,lognormal,30,1.2,0.04597701149425287,12.842030235293588,1.0,20
7,471169,471169,355.0,../data/Continuation/lognormal_euclidean/city30_range1.2_swap.json,swap,euclidean,lognormal,30,1.2,0.04597701149425287,13.062972119681609,1.0,20
1,786979,786979,435.0,../data/Continuation/lognormal_euclidean/city30_range2.8_swap.json,swap,euclidean,lognormal,30,2.8,0.08275862068965517,13.575956843434888,0.9999999999999999,36
2,807640,807640,431.0,../data/Continuation/lognormal_euclidean/city30_range2.8_swap.json,swap,euclidean,lognormal,30,2.8,0.08275862068965517,13.601871693664311,1.0,36
4,1084874,1084874,428.0,../data/Continuation/lognormal_euclidean/city30_range2.8_swap.json,swap,euclidean,lognormal,30,2.8,0.08275862068965517,13.896974409180942,1.0,36
7,5204835,5204835,377.0,../data/Continuation/lognormal_euclidean/city30_range2.8_swap.json,swap,euclidean,lognormal,30,2.8,0.08275862068965517,15.465098559240557,1.0,36
1,8017,8017,255.0,../data/Continuation/lognormal_euclidean/city20_range1.6_swap.json,swap,euclidean,lognormal,20,1.6,0.12105263157894737,8.989319566043076,1.0,23
3,13015,13015,255.0,../data/Continuation/lognormal_euclidean/city20_range1.6_swap.json,swap,euclidean,lognormal,20,1.6,0.12105263157894737,9.473857817428742,1.0,23
13,22047,22047,255.0,../data/Continuation/lognormal_euclidean/city20_range1.6_swap.json,swap,euclidean,lognormal,20,1.6,0.12105263157894737,10.000931817197026,1.0,23
22,26629,26629,254.0,../data/Continuation/lognormal_euclidean/city20_range1.6_swap.json,swap,euclidean,lognormal,20,1.6,0.12105263157894737,10.189756126469439,1.0,23
31,30074,30074,254.0,../data/Continuation/lognormal_euclidean/city20_range1.6_swap.json,swap,euclidean,lognormal,20,1.6,0.12105263157894737,10.311416290082299,1.0,23
1,802,802,253.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,6.687108607867762,1.0,6
4,1496,1496,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,7.310550158535091,1.0,6
8,17279,17279,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,9.75724717031318,1.0,6
16,45830,45830,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,10.732694177503191,0.9999999999999999,6
19,58114,58114,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,10.970161877668314,0.9999999999999999,6
23,78608,78608,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,11.272228754408442,0.9999999999999999,6
24,179416,179416,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,12.09746241080613,0.9999999999999999,6
29,179811,179811,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,12.099661578236173,0.9999999999999999,6
35,181487,181487,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,12.108939304777477,0.9999999999999999,6
36,185593,185593,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,12.131311383105754,0.9999999999999999,6
37,464804,464804,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.04937109033479,0.9999999999999999,6
39,572498,572498,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.25776452095465,0.9999999999999999,6
45,592077,592077,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.29139197297566,0.9999999999999999,6
51,592900,592900,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.29278102969546,0.9999999999999999,6
52,967309,967309,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.782273268376295,0.9999999999999999,6
58,970666,970666,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.785737712817182,0.9999999999999999,6
62,1063224,1063224,251.0,../data/Continuation/lognormal_euclidean/city30_range0.6_swap.json,swap,euclidean,lognormal,30,0.6,0.013793103448275862,13.87681635948983,0.9999999999999999,6
1,8578,8578,303.0,../data/Continuation/lognormal_euclidean/city30_range0.8_scramble.json,scramble,euclidean,lognormal,30,0.8,0.020689655172413793,9.056956065076943,0.9999999999999998,9
3,45837,45837,273.0,../data/Continuation/lognormal_euclidean/city30_range0.8_scramble.json,scramble,euclidean,lognormal,30,0.8,0.020689655172413793,10.732846904220846,1.0000000000000002,9
5,65463,65463,273.0,../data/Continuation/lognormal_euclidean/city30_range0.8_scramble.json,scramble,euclidean,lognormal,30,0.8,0.020689655172413793,11.089240376519253,1.0000000000000002,9
23,4120345,4120345,277.0,../data/Continuation/lognormal_euclidean/city30_range0.8_scramble.json,scramble,euclidean,lognormal,30,0.8,0.020689655172413793,15.231447455683968,1.0000000000000002,9
1,36230,36230,370.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,10.49764278388915,1.0000000000000004,9
2,229670,229670,207.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,12.344398775010465,1.0000000000000002,9
