generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
128,617206,617206,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.332958120745992,1.0,26
129,617207,617207,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.33295974094928,1.0,26
1,32553,32553,1117.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.034482758620689655,10.390624809288347,1.0,15
3,79984,79984,1120.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.0367816091954023,11.289581893653365,0.9999999999999999,16
16,81440,81440,1120.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.03908045977011494,11.307621831784362,0.9999999999999999,17
22,82908,82908,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.041379310344827586,11.325486838276808,0.9999999999999999,18
26,95398,95398,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04367816091954023,11.465812892856047,0.9999999999999999,19
29,95523,95523,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04367816091954023,11.467122335168424,0.9999999999999999,19
30,98984,98984,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04597701149425287,11.502713499893822,0.9999999999999999,20
31,105514,105514,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04827586206896552,11.566598924516013,0.9999999999999999,21
46,106210,106210,1110.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05057471264367816,11.573173545315594,1.0,22
70,106214,106214,1110.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.052873563218390804,11.5732112058436,1.0,23
117,107605,107605,1078.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05517241379310345,11.586222394031696,0.9999999999999999,24
119,107606,107606,1078.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05517241379310345,11.586231687236968,0.9999999999999999,24
124,112229,112229,1053.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05747126436781609,11.628296705697068,1.0000000000000002,25
160,131943,131943,1053.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05747126436781609,11.790125290126378,1.0000000000000002,25
178,131979,131979,1053.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.059770114942528735,11.790398098003124,1.0000000000000002,26
181,158871,158871,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06206896551724138,11.975847831148851,1.0,27
191,158873,158873,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,11.975860419899544,1.0,28
195,158875,158875,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,11.975873008491762,1.0,28
203,158940,158940,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,11.976282051494177,1.0,28
204,165818,165818,1036.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.01864608032622,0.9999999999999999,29
205,168028,168028,1063.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,12.031885911164723,0.9999999999999999,28
216,190909,190909,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,12.159552153704697,0.9999999999999999,28
227,191187,191187,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,12.161007285656108,0.9999999999999999,28
230,193887,193887,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,12.175030794114651,0.9999999999999999,28
231,193903,193903,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,12.175113313003788,0.9999999999999999,28
233,193914,193914,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.175170040790363,0.9999999999999999,29
236,194863,194863,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.180052026529511,0.9999999999999999,29
247,194865,194865,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.180062290097949,0.9999999999999999,29
254,194872,194872,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.180098211757944,0.9999999999999999,29
255,208168,208168,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.24610072498325,0.9999999999999999,29
275,208170,208170,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.24611033256171,0.9999999999999999,29
277,208197,208197,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06896551724137931,12.246240025837295,0.9999999999999999,30
278,208200,208200,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.07126436781609195,12.24625443516301,0.9999999999999999,31
291,208201,208201,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.07126436781609195,12.246259238225443,0.9999999999999999,31
297,218777,218777,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.07126436781609195,12.295808225174614,0.9999999999999999,31
300,218779,218779,1064.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.0735632183908046,12.295817366861622,0.9999999999999999,32
1,24657,24657,547.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.01839080459770115,10.11281611481665,1.0000000000000002,8
3,24659,24659,547.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.01839080459770115,10.112897224395736,1.0000000000000002,8
4,24702,24702,547.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.020689655172413793,10.114639490998,1.0000000000000002,9
5,36620,36620,534.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.022988505747126436,10.50834981822853,1.0000000000000002,10
6,66788,66788,534.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.022988505747126436,11.109278702668863,1.0,10
7,69230,69230,534.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.02528735632183908,11.145189573672086,1.0,11
10,71457,71457,534.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.027586206896551724,11.176851149168039,1.0,12
43,127854,127854,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.029885057471264367,11.758644266893983,0.9999999999999999,13
62,128433,128433,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03218390804597701,11.763162646562556,0.9999999999999999,14
67,251962,251962,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03218390804597701,12.437033561472266,0.9999999999999999,14
85,252008,252008,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03218390804597701,12.437216112021416,0.9999999999999999,14
90,252009,252009,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03218390804597701,12.437220080141538,0.9999999999999999,14
92,282190,282190,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03218390804597701,12.550335881911899,0.9999999999999999,14
104,282517,282517,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03218390804597701,12.551494004749225,0.9999999999999999,14
108,282528,282528,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.034482758620689655,12.551532939701312,0.9999999999999999,15
121,282529,282529,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.0367816091954023,12.551536479167243,0.9999999999999999,16
129,346813,346813,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.03908045977011494,12.756541008768428,1.0000000000000002,17
163,347955,347955,526.0,../data/Continuation/uniform_euclidean/city30_range40_wouter.json,inplace,euclidean,uniform,30,40.0,0.041379310344827586,12.759828440050484,1.0000000000000002,18
1,103482,103482,878.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.02528735632183908,11.547152963519466,1.0,11
11,107450,107450,878.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.027586206896551724,11.584780902070666,1.0,12
27,111337,111337,863.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.029885057471264367,11.620316916880157,1.0,13
28,114306,114306,863.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.029885057471264367,11.646634341843498,1.0,13
31,123848,123848,863.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.03218390804597701,11.72681028622031,1.0,14
46,227652,227652,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.034482758620689655,12.33557342614055,1.0000000000000002,15
47,227653,227653,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.0367816091954023,12.335577818800415,1.0000000000000002,16
57,227809,227809,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.03908045977011494,12.33626283755544,1.0000000000000002,17
71,240424,240424,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.03908045977011494,12.3901593102708,1.0000000000000002,17
77,240454,240454,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.041379310344827586,12.390284082042596,1.0000000000000002,18
79,240460,240460,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.041379310344827586,12.390309034528904,1.0000000000000002,18
80,240463,240463,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.04367816091954023,12.390321510538577,1.0000000000000002,19
83,240464,240464,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.04367816091954023,12.39032566917388,1.0000000000000002,19
87,240466,240466,839.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.04597701149425287,12.390333986392601,1.0000000000000002,20
96,265250,265250,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.04827586206896552,12.488428056476232,1.0000000000000002,21
98,265268,265268,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.04827586206896552,12.488495914682767,1.0000000000000002,21
103,265453,265453,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.05057471264367816,12.489193079511342,1.0000000000000002,22
108,265549,265549,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.05057471264367816,12.4895546600743,1.0000000000000002,22
118,265568,265568,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.489626207398178,1.0000000000000002,23
120,270461,270461,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.507883189424941,1.0000000000000002,23
121,280827,280827,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.545494100357466,1.0000000000000002,23
131,280829,280829,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.545501222154437,1.0000000000000002,23
133,340423,340423,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.73794424096634,1.0000000000000002,23
140,340635,340635,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.738566801766883,1.0000000000000002,23
143,344210,344210,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.052873563218390804,12.749007215213787,1.0000000000000002,23
146,344213,344213,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.05517241379310345,12.749015930785463,1.0000000000000002,24
152,344227,344227,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.05747126436781609,12.74905660244894,1.0000000000000002,25
154,344252,344252,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.05747126436781609,12.749129226305328,1.0000000000000002,25
155,344486,344486,840.0,../data/Continuation/uniform_euclidean/city30_range70_wouter.json,inplace,euclidean,uniform,30,70.0,0.05747126436781609,12.749808730003407,1.0000000000000002,25
1,145,145,425.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.013793103448275862,4.976733742427471,1.0,6
2,1534,1534,420.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.016091954022988506,7.335633981927853,1.0000000000000002,7
9,1688,1688,420.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.01839080459770115,7.431299675156495,1.0000000000000002,8
10,2772,2772,419.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.01839080459770115,7.927324360310155,1.0000000000000002,8
17,3108,3108,418.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.01839080459770115,8.04173471148786,1.0,8
20,6545,6545,412.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.020689655172413793,8.786456678344154,1.0000000000000002,9
30,7266,7266,406.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.022988505747126436,8.890961212781285,0.9999999999999998,10
35,10646,10646,397.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.02528735632183908,9.272939513732796,1.0000000000000002,11
49,10687,10687,397.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.027586206896551724,9.27678332852499,1.0000000000000002,12
50,13290,13290,390.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.029885057471264367,9.494767151707366,1.0000000000000002,13
55,20594,20594,390.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.029885057471264367,9.932755050216745,1.0000000000000002,13
57,20595,20595,390.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.029885057471264367,9.93280360687023,1.0000000000000002,13
58,21562,21562,390.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.029885057471264367,9.97868778509911,1.0000000000000002,13
66,23415,23415,390.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.029885057471264367,10.061132121617685,1.0000000000000002,13
71,24001,24001,379.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.03218390804597701,10.08585077512876,1.0,14
75,32700,32700,378.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.03218390804597701,10.395130356885375,0.9999999999999998,14
79,41481,41481,370.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.034482758620689655,10.632990770056752,0.9999999999999999,15
81,71879,71879,359.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.034482758620689655,11.182739428725053,1.0,15
82,87149,87149,359.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.034482758620689655,11.37537457641304,1.0,15
83,87257,87257,359.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.0367816091954023,11.376613066072855,1.0,16
86,87271,87271,359.0,../data/Continuation/uniform_euclidean/city30_range30_wouter.json,inplace,euclidean,uniform,30,30.0,0.03908045977011494,11.376773498783136,1.0,17
