file,floatingpoint/integer,iterations,optimal tour,optimal tour length
48cities_avg10_std08_27,floatingpoint,18819,[(11 5) (27 12) (10 8) (31 13) (13 14) (18 7) (23 35) (45 11) (4 23) (24 16) (5 43) (44 1) (42 15) (30 33) (17 46) (37 42) (40 44) (36 21) (7 38) (8 4) (20 36) (26 6) (19 47) (34 30) (32 26) (1 25) (21 34) (14 0) (12 19) (47 2) (15 27) (22 37) (9 39) (33 22) (29 3) (38 41) (46 28) (0 45) (3 20) (39 17) (2 32) (41 29) (28 18) (16 9) (25 24) (6 31) (35 40) (43 10)],74.92692927346255
48cities_avg10_std08_7,integer,6411,[(35 45) (34 0) (2 32) (4 36) (28 18) (44 9) (17 34) (46 35) (40 4) (31 44) (22 29) (45 12) (39 30) (38 13) (25 14) (24 1) (21 42) (11 24) (47 31) (10 19) (0 2) (33 8) (27 20) (12 3) (8 17) (18 25) (43 21) (42 33) (36 39) (37 27) (26 22) (19 6) (29 47) (16 43) (15 10) (1 38) (14 11) (9 28) (7 15) (20 41) (6 26) (23 7) (5 23) (41 40) (30 5) (13 16) (3 37) (32 46)],71.0
48cities_avg10_std08_7,floatingpoint,42178,[(17 7) (45 12) (15 6) (38 13) (0 2) (11 24) (8 45) (25 14) (35 46) (3 29) (24 1) (12 3) (42 33) (26 22) (32 18) (2 32) (27 20) (1 38) (14 11) (22 0) (21 42) (5 10) (19 23) (28 36) (34 44) (10 34) (31 19) (7 37) (37 15) (36 27) (18 25) (43 21) (46 39) (40 4) (4 17) (13 16) (44 9) (20 41) (6 26) (9 28) (47 31) (33 35) (41 40) (29 47) (16 43) (30 5) (23 30) (39 8)],74.28521254910781
48cities_avg10_std08_50,integer,8817,[(7 31) (39 0) (1 18) (3 9) (18 8) (29 32) (21 17) (8 39) (46 36) (43 2) (28 45) (27 26) (44 14) (40 43) (37 28) (41 27) (6 23) (36 37) (31 4) (45 20) (19 29) (9 30) (35 5) (34 12) (33 40) (0 35) (32 44) (30 10) (12 13) (42 46) (22 47) (26 3) (10 42) (24 7) (23 38) (20 24) (14 34) (16 25) (15 22) (13 15) (17 19) (4 1) (2 21) (25 11) (38 16) (5 6) (11 33) (47 41)],68.0
48cities_avg10_std08_50,floatingpoint,17434,[(10 42) (38 21) (4 1) (29 8) (18 39) (8 31) (47 41) (25 11) (24 32) (27 26) (37 28) (9 5) (2 15) (26 3) (13 7) (35 34) (14 25) (34 14) (15 12) (41 17) (40 27) (17 19) (44 43) (21 29) (1 18) (7 0) (28 45) (39 2) (32 35) (23 44) (16 38) (36 37) (3 9) (46 36) (45 20) (0 22) (43 16) (6 23) (12 13) (11 33) (20 24) (19 30) (31 4) (33 40) (30 10) (5 6) (22 47) (42 46)],71.44437205094637
48cities_avg10_std08_14,integer,3734,[(9 1) (46 34) (27 7) (45 6) (30 42) (3 14) (29 32) (25 43) (24 45) (0 18) (23 26) (1 29) (47 33) (28 35) (43 13) (18 30) (7 19) (19 2) (8 21) (42 22) (35 44) (33 12) (5 25) (40 4) (34 9) (6 47) (22 37) (38 5) (20 11) (4 31) (39 23) (37 3) (2 40) (44 38) (15 41) (14 28) (36 15) (41 8) (26 27) (21 24) (17 0) (16 20) (13 36) (11 10) (10 46) (12 39) (31 16) (32 17)],68.0
48cities_avg10_std08_14,floatingpoint,8292,[(5 22) (20 31) (6 11) (19 2) (34 47) (46 30) (8 9) (13 36) (30 41) (21 34) (33 44) (41 24) (42 21) (32 17) (17 25) (45 42) (35 0) (16 20) (22 37) (38 5) (27 7) (29 32) (25 43) (24 45) (3 14) (7 29) (31 19) (9 1) (15 38) (44 40) (23 26) (18 16) (28 35) (0 18) (47 33) (2 6) (43 13) (39 23) (37 3) (26 27) (4 8) (11 10) (10 46) (14 28) (36 15) (12 39) (1 12) (40 4)],73.82843204225519
48cities_avg10_std08_37,integer,61657,[(2 39) (44 33) (47 14) (39 37) (41 47) (42 7) (37 3) (29 10) (25 22) (11 26) (45 25) (32 41) (22 29) (38 40) (36 16) (26 38) (43 34) (27 9) (35 2) (34 32) (13 17) (33 42) (31 4) (30 31) (6 5) (28 6) (24 11) (21 43) (23 21) (10 20) (20 46) (18 19) (15 23) (12 15) (9 28) (3 18) (14 45) (5 8) (19 36) (17 0) (16 27) (7 12) (4 1) (1 24) (0 30) (8 13) (40 44) (46 35)],77.0
48cities_avg10_std08_37,floatingpoint,190514,[(25 22) (34 32) (47 26) (27 14) (22 20) (10 9) (43 34) (17 0) (41 47) (37 2) (2 10) (29 41) (4 1) (9 28) (23 21) (21 43) (38 18) (11 40) (32 29) (14 7) (13 17) (42 3) (18 39) (3 19) (39 33) (15 23) (7 12) (30 31) (0 30) (35 16) (44 45) (6 5) (46 35) (5 8) (45 25) (12 15) (24 11) (40 44) (31 4) (28 6) (16 27) (36 37) (19 36) (33 42) (8 13) (20 46) (1 24) (26 38)],80.22864693250173
48cities_avg10_std08_46,integer,622,[(32 33) (38 19) (34 41) (25 42) (45 40) (28 13) (46 25) (39 43) (24 5) (36 15) (22 36) (13 26) (9 23) (30 22) (6 20) (43 28) (3 0) (26 47) (47 32) (44 6) (42 18) (37 17) (29 34) (31 29) (27 10) (40 12) (23 44) (1 35) (21 2) (19 37) (18 9) (17 46) (2 1) (20 4) (16 31) (15 24) (14 7) (12 8) (10 16) (8 14) (7 11) (33 21) (5 27) (4 30) (0 45) (11 39) (35 38) (41 3)],79.0
48cities_avg10_std08_46,floatingpoint,85715,[(10 16) (39 0) (27 10) (30 43) (4 30) (45 40) (36 15) (46 36) (32 25) (13 26) (29 5) (41 34) (28 13) (9 6) (42 28) (6 20) (43 22) (12 47) (47 32) (15 24) (31 29) (44 31) (34 19) (2 1) (8 14) (20 4) (16 2) (21 35) (1 18) (25 38) (3 42) (33 21) (5 27) (38 33) (37 17) (23 44) (40 12) (14 7) (35 3) (22 23) (7 11) (0 45) (19 37) (11 39) (26 41) (17 46) (18 8) (24 9)],83.49726409908028
48cities_avg10_std08_1,integer,718,[(18 4) (20 8) (2 11) (38 17) (36 40) (27 46) (9 29) (31 43) (7 21) (24 1) (45 15) (35 31) (44 41) (47 35) (43 32) (21 13) (34 26) (8 28) (42 33) (30 19) (41 10) (40 47) (37 23) (33 14) (29 3) (28 5) (32 7) (26 38) (23 36) (19 22) (16 25) (0 34) (6 45) (4 24) (22 44) (14 37) (15 9) (13 6) (12 16) (3 2) (25 39) (11 30) (10 12) (5 27) (1 20) (17 18) (39 0) (46 42)],79.0
