,size,range,mutations,continuation,tsp type,distribution,mutation strategy
12,20,[3.4],1000,,euclidean,lognormal ,scramble
12,20,[3.6],1000,,euclidean,lognormal ,scramble
12,20,[3.8],1000,,euclidean,lognormal ,scramble
12,20,[4.0],1000,,euclidean,lognormal ,scramble
12,20,[4.6],1000,,euclidean,lognormal ,scramble
12,20,[4.8],1000,,euclidean,lognormal ,scramble
12,20,[5.0],1000,,euclidean,lognormal ,scramble
13,30,[0.2],1000,,euclidean,lognormal ,scramble
13,30,[0.4],1000,,euclidean,lognormal ,scramble
13,30,[0.6],1000,,euclidean,lognormal ,scramble
13,30,[0.8],1000,,euclidean,lognormal ,scramble
13,30,[1.0],1000,,euclidean,lognormal ,scramble
13,30,[1.6],1000,,euclidean,lognormal ,scramble
13,30,[1.8],1000,,euclidean,lognormal ,scramble
13,30,[2.0],1000,,euclidean,lognormal ,scramble
13,30,[2.2],1000,,euclidean,lognormal ,scramble
13,30,[2.4],1000,,euclidean,lognormal ,scramble
13,30,[2.6],1000,,euclidean,lognormal ,scramble
13,30,[2.8],1000,,euclidean,lognormal ,scramble
13,30,[3.0],1000,,euclidean,lognormal ,scramble
13,30,[3.2],1000,,euclidean,lognormal ,scramble
13,30,[3.4],1000,,euclidean,lognormal ,scramble
13,30,[3.6],1000,,euclidean,lognormal ,scramble
13,30,[3.8],1000,,euclidean,lognormal ,scramble
13,30,[4.0],1000,,euclidean,lognormal ,scramble
13,30,[4.2],1000,,euclidean,lognormal ,scramble
13,30,[4.4],1000,,euclidean,lognormal ,scramble
13,30,[4.6],1000,,euclidean,lognormal ,scramble
13,30,[4.8],1000,,euclidean,lognormal ,scramble
13,30,[5.0],1000,,euclidean,lognormal ,scramble
