violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,configuration,iteration,generation,optimal_cost
240,16005612.0,66690.05,0.03508771929824561,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",55553,11,265.0
272,16702330.0,61405.625,0.03976608187134503,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",55556,14,265.0
308,18546980.0,60217.46753246753,0.04502923976608187,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",95162,15,265.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 3.8, 'mutation_type': 'swap'}",285369,1,406.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 3.8, 'mutation_type': 'swap'}",289577,2,406.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.2, 'mutation_type': 'inplace'}",19001,1,237.0
36,1048266.0,29118.5,0.005263157894736842,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.2, 'mutation_type': 'inplace'}",20987,2,237.0
72,1562158.0,21696.63888888889,0.010526315789473684,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.2, 'mutation_type': 'inplace'}",21073,3,237.0
106,3355806.0,31658.54716981132,0.015497076023391813,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.2, 'mutation_type': 'inplace'}",21075,5,237.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'swap'}",23595,1,299.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'swap'}",34684,3,299.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'swap'}",35372,5,299.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'swap'}",95729,6,299.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'swap'}",130004,7,299.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'swap'}",131683,11,299.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 4.4, 'mutation_type': 'inplace'}",184424,1,293.0
36,129817030.0,3606028.611111111,0.005263157894736842,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 4.4, 'mutation_type': 'inplace'}",206062,2,293.0
72,129896310.0,1804115.4166666667,0.010526315789473684,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 4.4, 'mutation_type': 'inplace'}",605405,8,294.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.2, 'mutation_type': 'swap'}",124412,1,355.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.2, 'mutation_type': 'swap'}",377766,3,355.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.2, 'mutation_type': 'swap'}",471169,7,355.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.8, 'mutation_type': 'swap'}",786979,1,435.0
84,236.0,2.8095238095238093,0.0034482758620689655,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.8, 'mutation_type': 'swap'}",807640,2,431.0
162,392.0,2.419753086419753,0.006650246305418719,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.8, 'mutation_type': 'swap'}",1084874,4,428.0
214,2810.0,13.130841121495328,0.008784893267651889,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.8, 'mutation_type': 'swap'}",5204835,7,377.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.6, 'mutation_type': 'swap'}",8017,1,255.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.6, 'mutation_type': 'swap'}",13015,3,255.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.6, 'mutation_type': 'swap'}",22047,13,255.0
