generation,iterations,sad,frobenius,symmetric_ratio,mean_asymmetry,mutation_type,generation_type,distribution,city_size,range
iteration_52,967309.0,72.0,10.770329614269007,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_58,970666.0,76.0,10.954451150103322,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_62,1063224.0,80.0,11.135528725660043,1.0,0.0,swap,euclidean,lognormal,30,0.6
last,,80.0,11.135528725660043,,,swap,euclidean,lognormal,30,0.6
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,2.8
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,2.8
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.0
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,2.0
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,4.6
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,4.6
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,2.4
last,,0.0,0.0,,,swap,euclidean,lognormal,30,2.4
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,3.2
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,3.2
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,0.8
iteration_1,8578.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,0.8
iteration_3,45837.0,1452.0,65.14598989960932,1.0,0.0,scramble,euclidean,lognormal,30,0.8
iteration_5,65463.0,1440.0,63.90618123468183,1.0,0.0,scramble,euclidean,lognormal,30,0.8
iteration_23,4120345.0,1432.0,63.2771680782255,1.0,0.0,scramble,euclidean,lognormal,30,0.8
last,,1420.0,63.52952069707436,,,scramble,euclidean,lognormal,30,0.8
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,4.0
last,,0.0,0.0,,,swap,euclidean,lognormal,30,4.0
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,0.2
last,,0.0,0.0,,,swap,euclidean,lognormal,30,0.2
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,2.2
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,2.2
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_1,36230.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_2,229670.0,660.0,330.0,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_15,388101.0,664.0,330.0060605504087,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_35,730014.0,668.0,330.0121209895176,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_40,1120125.0,672.0,330.0181813173329,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_56,2004185.0,676.0,330.0242415338607,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_74,3211254.0,680.0,330.03030163910705,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_94,3864380.0,1352.0,470.97345997412634,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_97,4565369.0,2012.0,575.0791249906399,1.0,0.0,swap,euclidean,lognormal,20,2.4
iteration_102,5304050.0,2656.0,659.0902821313632,1.0,0.0,swap,euclidean,lognormal,20,2.4
last,,2656.0,659.0902821313632,,,swap,euclidean,lognormal,20,2.4
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,0.2
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,0.2
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,4.0
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,4.0
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,3.0
last,,0.0,0.0,,,swap,euclidean,lognormal,30,3.0
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,2.4
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,2.4
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,5.0
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,5.0
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,4.0
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,4.0
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,1.6
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,1.6
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,1.6
last,,0.0,0.0,,,swap,euclidean,lognormal,30,1.6
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,1.0
iteration_1,73383.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,1.0
iteration_23,701842.0,1476.0,64.96152707564686,1.0,0.0,scramble,euclidean,lognormal,30,1.0
last,,1560.0,66.42288762166245,,,scramble,euclidean,lognormal,30,1.0
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_1,340988.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_30,341603.0,751402.0,531321.4495971341,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_32,341691.0,954074.0,550309.4153237795,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_52,346826.0,968514.0,550404.1327915335,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_54,369441.0,988804.0,550591.092775755,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_62,369466.0,990514.0,550592.4204836097,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_68,371646.0,995044.0,550601.7380502898,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_77,447549.0,1120542.0,557707.0449133667,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_80,447698.0,1178632.0,559217.6427796248,1.0,0.0,inplace,euclidean,lognormal,30,2.2
iteration_88,450006.0,1195332.0,559342.307532695,1.0,0.0,inplace,euclidean,lognormal,30,2.2
last,,1236104.0,560084.8105314051,,,inplace,euclidean,lognormal,30,2.2
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_1,178505.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_2,182766.0,12.0,6.0,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_9,240783.0,16.0,6.324555320336759,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_11,292436.0,24.0,7.483314773547883,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_25,336536.0,28.0,7.745966692414834,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_54,363052.0,732.0,352.085216957486,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_64,369304.0,736.0,352.0908973546462,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_78,444812.0,1424.0,492.24384201328513,1.0,0.0,swap,euclidean,lognormal,20,2.8
iteration_81,488214.0,1424.0,492.24384201328513,1.0,0.0,swap,euclidean,lognormal,20,2.8
last,,1428.0,492.2479050234749,,,swap,euclidean,lognormal,20,2.8
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,4.6
iteration_1,3012145.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,4.6
iteration_3,3822861.0,20.0,10.0,1.0,0.0,swap,euclidean,lognormal,30,4.6
last,,24.0,10.198039027185569,,,swap,euclidean,lognormal,30,4.6
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,2.0
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,2.0
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,5.0
iteration_1,55381.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,5.0
iteration_8,59707.0,78.0,55.154328932550705,1.0,0.0,inplace,euclidean,lognormal,20,5.0
iteration_22,381656.0,146.0,73.17103251970687,1.0,0.0,inplace,euclidean,lognormal,20,5.0
iteration_30,458832.0,15478.0,10841.608091053651,1.0,0.0,inplace,euclidean,lognormal,20,5.0
iteration_47,573869.0,15770.0,10843.574041800055,1.0,0.0,inplace,euclidean,lognormal,20,5.0
iteration_56,696271.0,17314.0,10898.397405123378,1.0,0.0,inplace,euclidean,lognormal,20,5.0
last,,19300.0,10988.501444692083,,,inplace,euclidean,lognormal,20,5.0
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,1.8
iteration_1,1627536.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,1.8
iteration_4,2548999.0,124.0,62.0,1.0,0.0,swap,euclidean,lognormal,30,1.8
last,,156.0,64.03124237432849,,,swap,euclidean,lognormal,30,1.8
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_1,12564.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_2,13504.0,48338.0,34180.12758899533,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_3,13659.0,7629844.0,5361043.265553823,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_9,13673.0,9788966.0,5574198.489521341,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_29,13796.0,9789964.0,5574198.53419162,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_31,14013.0,9813412.0,5574223.192780856,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_34,14090.0,10074122.0,5577270.753243561,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_36,14149.0,10099882.0,5577300.497891968,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_44,14263.0,10356460.0,5580250.619714853,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_51,106875.0,35633540.0,18724438.139555164,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_54,146601.0,35651180.0,18724442.294146653,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_55,163027.0,35713414.0,18724494.005505357,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_61,459196.0,35722800.0,18724495.181731977,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_73,3425488.0,35755478.0,18724509.439142752,1.0,0.0,inplace,euclidean,lognormal,20,3.0
iteration_76,3427200.0,35756166.0,18724509.445462596,1.0,0.0,inplace,euclidean,lognormal,20,3.0
last,,36203932.0,18727186.15191818,,,inplace,euclidean,lognormal,20,3.0
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,4.8
last,,0.0,0.0,,,inplace,euclidean,lognormal,20,4.8
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.4
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,2.4
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,4.4
iteration_1,30662.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,4.4
iteration_2,68596.0,108.0,54.0,1.0,0.0,swap,euclidean,lognormal,20,4.4
last,,124.0,54.589376255824725,,,swap,euclidean,lognormal,20,4.4
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,3.4
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,3.4
