violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio
36,66379443538.0,1843873431.6111112,0.005263157894736842
72,66379454444.0,921936867.2777778,0.010526315789473684
104,66381913160.0,638287626.5384616,0.0152046783625731
138,66382021812.0,481029143.5652174,0.02017543859649123
174,66382315130.0,381507558.2183908,0.02543859649122807
208,68638655710.0,329993537.0673077,0.0304093567251462
242,68638657208.0,283630814.90909094,0.035380116959064324
274,68641406416.0,250516081.810219,0.040058479532163745
0,0.0,0.0,0.0
56,14275152.0,254913.42857142858,0.0022988505747126436
0,0.0,0.0,0.0
36,747644.0,20767.88888888889,0.005263157894736842
72,1380434.0,19172.694444444445,0.010526315789473684
108,2203212.0,20400.11111111111,0.015789473684210527
142,2833018.0,19950.830985915494,0.020760233918128656
178,3455034.0,19410.303370786518,0.026023391812865497
212,4010120.0,18915.66037735849,0.030994152046783626
248,5038948.0,20318.33870967742,0.03625730994152047
280,5879434.0,20997.97857142857,0.04093567251461988
314,6670778.0,21244.51592356688,0.04590643274853801
348,7129434.0,20486.879310344826,0.05087719298245614
376,7832724.0,20831.712765957447,0.05497076023391813
406,8445362.0,20801.384236453203,0.05935672514619883
442,9253842.0,20936.29411764706,0.06461988304093567
474,9718062.0,20502.240506329115,0.06929824561403508
506,10419856.0,20592.600790513832,0.0739766081871345
534,10847756.0,20314.149812734082,0.0780701754385965
