mutation_type,generation_type,distribution,city_size,range,mean,median,std,count,max,min
scramble,asymmetric,uniform,30.0,40.0,3900.1666666666665,2421.0,3752.4043714219642,6,10457,0
scramble,asymmetric,lognormal,30.0,0.8,8291.2,2419.0,12026.886450781847,5,29093,0
swap,euclidean,lognormal,20.0,0.2,2825.3125,2394.0,2073.853424961804,32,6466,0
scramble,euclidean,uniform,20.0,65.0,3071.75,2393.5,3167.807483102469,4,7500,0
scramble,euclidean,uniform,20.0,25.0,2750.5714285714284,2387.0,1998.4866655499484,7,6379,0
scramble,euclidean,lognormal,20.0,0.4,2470.8,2335.0,1719.8177810454224,5,4659,0
swap,asymmetric,uniform,20.0,100.0,2860.2911392405063,2297.5,2115.3882639021012,158,6296,0
scramble,euclidean,uniform,20.0,20.0,2436.3636363636365,2279.0,1781.1112414853415,11,6298,0
scramble,asymmetric,lognormal,30.0,2.2,3795.0,2251.0,4120.954937875444,6,11542,0
wouter,asymmetric,lognormal,20.0,0.4,2448.04,2213.0,1630.4420309011398,125,5882,0
wouter,euclidean,uniform,20.0,70.0,1938.3636363636363,2198.0,850.5714870282536,11,3011,0
scramble,asymmetric,uniform,30.0,30.0,4093.8333333333335,2184.0,4714.253740872816,12,13776,0
scramble,euclidean,uniform,20.0,60.0,3977.75,2150.5,5191.826420763057,4,11610,0
scramble,asymmetric,lognormal,30.0,1.2,2898.9,2119.0,2661.923383570609,10,8104,0
scramble,euclidean,uniform,20.0,50.0,2661.3,2085.5,2430.7264597692233,10,6673,0
scramble,asymmetric,lognormal,30.0,0.2,5005.428571428572,2066.0,7263.882727970921,7,20771,0
scramble,euclidean,lognormal,20.0,0.6,3389.0,2040.0,3276.548881281732,8,9051,0
swap,asymmetric,uniform,20.0,55.0,2270.0508474576272,2039.5,1016.2764517847821,118,3864,0
swap,asymmetric,lognormal,30.0,2.0,2886.7115384615386,2029.5,2138.865490367496,104,8028,0
scramble,asymmetric,uniform,30.0,80.0,2063.8333333333335,2020.5,1726.6097899255255,6,4675,0
scramble,asymmetric,uniform,30.0,95.0,2794.75,2005.5,3042.9614217544254,8,9405,0
wouter,asymmetric,uniform,20.0,10.0,1860.4871794871794,1996.0,833.598406736438,117,3489,0
wouter,asymmetric,uniform,20.0,40.0,1847.3515625,1993.5,1099.9723875549632,128,3687,0
wouter,asymmetric,lognormal,20.0,1.2,2211.1014492753625,1986.0,1934.070624546364,69,5698,0
wouter,asymmetric,lognormal,20.0,2.8,2467.733333333333,1950.0,2018.343778686769,120,6595,0
wouter,asymmetric,uniform,20.0,5.0,2291.3333333333335,1935.0,1490.2536941169217,120,5165,0
wouter,asymmetric,uniform,20.0,65.0,1670.7788461538462,1858.5,1133.5275205907087,104,3838,0
swap,asymmetric,lognormal,20.0,0.2,1878.0143884892086,1841.0,948.8193883324316,139,3451,0
wouter,euclidean,uniform,20.0,65.0,1637.425,1815.5,582.2241126127399,40,2760,0
wouter,asymmetric,uniform,20.0,100.0,1741.1037735849056,1777.5,861.7438126568076,106,2928,0
scramble,euclidean,uniform,20.0,75.0,2308.9166666666665,1777.5,1858.0163155332837,12,5677,0
wouter,asymmetric,uniform,20.0,60.0,1871.952380952381,1775.5,1073.8793664626794,126,3558,0
wouter,asymmetric,lognormal,20.0,4.8,3876.467213114754,1773.5,4404.463784184048,122,15574,0
wouter,asymmetric,uniform,20.0,20.0,1847.4705882352941,1727.5,1496.0818503117544,136,5764,0
wouter,asymmetric,lognormal,20.0,2.2,1789.1904761904761,1706.0,1219.7496992229917,105,3489,0
scramble,asymmetric,lognormal,30.0,2.6,1725.8333333333333,1704.0,1542.769511841178,6,3628,0
